iter	Passed	Remaining
0	49	49569
1	52	26305
2	55	18493
3	58	14565
4	61	12190
5	63	10600
6	66	9481
7	69	8642
8	74	8214
9	77	7702
10	80	7247
11	83	6863
12	86	6560
13	89	6309
14	93	6126
15	96	5906
16	98	5721
17	101	5552
18	104	5391
19	107	5265
20	110	5143
21	113	5030
22	116	4928
23	119	4848
24	121	4756
25	124	4671
26	127	4599
27	130	4526
28	133	4461
29	136	4405
30	139	4354
31	145	4386
32	149	4375
33	152	4343
34	155	4289
35	158	4234
36	160	4187
37	163	4146
38	166	4106
39	169	4068
40	172	4025
41	174	3989
42	177	3953
43	180	3921
44	183	3888
45	186	3857
46	188	3826
47	191	3796
48	194	3782
49	199	3794
50	203	3793
51	206	3766
52	209	3741
53	211	3713
54	214	3685
55	217	3665
56	220	3640
57	223	3621
58	226	3605
59	231	3625
60	234	3609
61	237	3587
62	239	3565
63	243	3557
64	246	3545
65	249	3525
66	251	3506
67	254	3486
68	257	3469
69	259	3453
70	262	3437
71	265	3419
72	268	3405
73	270	3388
74	273	3374
75	276	3357
76	280	3359
77	283	3355
78	287	3356
79	292	3358
80	295	3354
81	299	3351
82	302	3340
83	305	3326
84	307	3313
85	310	3299
86	313	3285
87	315	3273
88	318	3261
89	321	3249
90	323	3236
91	326	3224
92	330	3220
93	333	3209
94	335	3199
95	338	3188
96	341	3176
97	344	3167
98	346	3155
99	349	3143
100	352	3133
101	354	3125
102	357	3114
103	360	3104
104	363	3094
105	365	3085
106	368	3076
107	371	3068
108	374	3058
109	377	3050
110	379	3040
111	382	3032
112	385	3023
113	387	3014
114	390	3005
115	393	2997
116	396	2989
117	398	2982
118	401	2971
119	404	2964
120	406	2955
121	409	2948
122	412	2938
123	414	2929
124	417	2920
125	419	2911
126	422	2905
127	425	2897
128	428	2889
129	430	2883
130	433	2875
131	436	2868
132	439	2863
133	442	2857
134	445	2851
135	448	2846
136	450	2838
137	453	2833
138	456	2827
139	459	2819
140	461	2813
141	464	2807
142	467	2801
143	469	2793
144	472	2788
