model,rmse,mae,file
catboost,64.4308841970001,44.15591301294656,/app/models/model_catboost_candidate.metrics.json
hgb,65.37675399360658,44.51929667403732,/app/models/model_hgb_candidate.metrics.json
lgbm,65.8168488330586,45.10454737811313,/app/models/model_lgbm_candidate.metrics.json
et,70.43361080757764,47.01822606568833,/app/models/model_et_candidate.metrics.json
rf,70.52826726574486,46.716647099930114,/app/models/model_rf_candidate.metrics.json
xgb,73.41939854790375,51.25793482831134,/app/models/model_xgb_candidate.metrics.json
gbr,100.79864470951244,79.9868689667273,/app/models/model_gbr_candidate.metrics.json
ada,117.77082688111258,99.84834410555672,/app/models/model_ada_candidate.metrics.json
ridge,137.43433507535286,103.20893712139949,/app/models/model_ridge_candidate.metrics.json
linear,137.58828138732056,103.34734075247161,/app/models/model_linear_candidate.metrics.json
knn,168.52700637727358,135.79802935010485,/app/models/model_knn_candidate.metrics.json
